Setter ,Player,Attack,Result,Value
s,j,9,e,-1
j,koop,5,t,0
s,j,9,t,0
s,koop,5,t,0
s,allie,1,tk,1
j,kate,1,t,0
j,mk,5,tk,1
j,mk,5,k,1
j,ellie,9,e,-1
s,eb,1,t,0
j,mk,5,tk,1
s,mw,9,t,0
j,j,dump,ip,0
lily,mk,5,t,0
mo,mw,9,t,0
s,ang,5,t,0
j,ellie,9,e,-1
s,eb,1,tk,1
j,mk,5,tk,1
s,ang,5,tk,1
s,mw,8,t,0
j,mk,5,tk,1
s,s,dump,k,1
m,ellie,5,ip,0
mo,ellie,5,e,-1
s,leah,1,t,0
s,j,9,k,1
s,koop,5,tk,1
s,allie,1,ip,0
s,koop,5,ip,0
m,mk,5,k,1
m,mw,8,k,1
m,leah,3,b,-1
s,allie,3,k,1
s,koop,4,b,-1
m,m,dump,ip,0
s,j,9,k,1
s,koop,4,k,1
s,allie,3,t,0
ja,mw,9,ip,0
m,leah,1,b,-1
s,allie,3,k,1
s,eb,1,ip,0
j,kate,1,ip,0
s,mw,9,ip,0
cl,ellie,9,ip,0
s,ang,5,k,1
s,s,dump,ip,0
cl,mk,5,k,1
j,ellie,8,ip,0
mo,ang,5,k,1
s,mw,6,k,1
s,eb,1,t,0
lily,mk,5,k,1
j,kate,3,k,1
j,j,dump,ip,0
j,mk,5,e,-1
s,ang,5,ip,0
s,koop,5,k,1
s,j,9,k,1
s,leah,1,t,0
m,ellie,5,ip,0
m,ang,9,sd,0
s,koop,5,k,1
s,leah,3,sd,0
s,koop,5,ip,0
s,j,9,ip,0
m,ang,9,k,1
m,syd,1,ip,0
s,j,9,t,0
s,leah,1,t,0
m,ellie,5,ip,0
m,mo,br,e,-1
s,koop,5,k,1
s,leah,1,k,1
m,mw,8,k,1
s,allie,6,k,1
m,koop,5,t,0
m,ang,8,ip,0
s,j,9,e,-1
s,j,9,k,1
s,syd,1,ip,0
j,mk,5,ip,0
s,s,dump,ip,0
j,mk,5,b,-1
s,koop,2,k,1
j,kate,8,k,1
s,eb,1,k,1
j,koop,5,ip,0
s,ellie,9,ip,0
mo,m,5,ip,0
j,j,dump,k,1
s,ellie,9,b,-1
s,ellie,9,k,1
s,koop,5,k,1
m,leah,3,e,-1
m,leah,3,e,-1
s,allie,1,k,1
m,mw,9,ip,0
m,leah,1,ip,0
s,j,9,e,-1
s,mk,5,k,1
j,kate,1,k,1
s,syd,1,t,0
j,mk,5,e,-1
j,mk,9,ip,0
mo,koop,5,ip,0
j,liz,5,k,1
s,eb,1,e,-1
s,mk,5,ip,0
j,koop,5,ip,0
s,ellie,9,ip,0
s,allie,8,t,0
mo,mk,5,k,1
s,koop,5,k,1
s,allie,8,k,1
s,kate,1,k,1
s,koop,5,ip,0
lily,mk,5,k,1
s,koop,5,ip,0
j,mk,9,ip,0
j,kate,1,k,1
s,syd,3,ip,0
j,ellie,5,ip,0
s,s,dump,ip,0
j,ellie,5,b,-1
j,koop,5,ip,0
j,j,dump,ip,0
s,ang,9,k,1
j,koop,5,ip,0
j,kate,1,k,1
s,mk,5,t,0
j,koop,5,k,1
s,eb,1,k,1
j,ellie,9,ip,0
s,mk,5,k,1
s,allie,1,t,0
s,koop,5,ip,0
s,allie,1,ip,0
m,mk,5,k,1
s,mk,5,ip,0
m,ang,5,ip,0
j,mk,5,ip,0
m,m,dump,ip,0
s,j,9,ip,0
m,ang,5,b,-1
m,ang,5,k,1
m,leah,1,k,1
s,kate,1,tk,1
s,kate,3,e,-1
s,mk,5,k,1
s,koop,5,e,-1
j,ellie,5,ip,0
s,koop,5,ip,0
j,ellie,5,ip,0
j,mk,9,k,1
j,koop,5,tk,1
j,ellie,9,ip,0
j,allie,1,t,0
lily,koop,5,k,1
